,title,release_date
801,Diebinnen,1996-06-20
802,The Convent,1995-09-06
803,The Adventures of Pinocchio,1996-07-26
804,Joe's Apartment,1996-07-26
805,The First Wives Club,1996-09-20
806,Stonewall,1995-10-01
807,Ransom,1996-11-08
808,High School High,1996-10-25
809,Phat Beach,1996-08-02
810,Foxfire,1996-08-23
811,Chain Reaction,1996-08-02
812,Matilda,1996-08-02
813,Emma,1996-08-02
814,The Crow: City of Angels,1996-08-29
815,House Arrest,1996-08-14
816,Eyes Without a Face,1960-01-11
817,Bordello of Blood,1996-08-16
818,Lotto Land,1995-06-01
819,The Story of Xinghua,1994-03-30
820,The Day the Sun Turned Cold,1994-01-01
821,Flirt,1995-09-14
822,The Big Squeeze,1996-09-06
823,The Spitfire Grill,1996-08-23
824,Escape from L.A.,1996-08-09
825,Cyclo,1995-01-01
826,Basquiat,1996-08-09
827,Tin Cup,1996-08-16
828,Dingo,1991-06-02
829,The Ballad of Narayama,1958-06-01
830,Every Other Weekend,1990-08-28
831,Mille bolle blu,1993-01-01
832,Crows and Sparrows,1949-01-01
833,The Godfather,1972-03-14
834,Maybe... Maybe Not,1994-10-05
835,Police Story 3: Supercop,1992-07-04
836,Manny & Lo,1996-01-22
837,Wife,1953-04-29
838,Wife,1953-04-29
839,Small Faces,1996-04-05
840,Bound,1996-09-13
841,Carpool,1996-08-23
842,Death in Brunswick,1990-11-08
843,Kansas City,1996-08-16
844,Gone Fishin',1997-05-30
845,Lover's Knot,1996-07-12
846,Vive L'Amour,1994-09-02
847,Shadow of Angels,1976-01-31
848,Killer: A Journal of Murder,1996-09-06
849,Nothing to Lose,1994-01-01
850,Project S,1993-10-21
851,Girls Town,1996-08-21
852,Bye-Bye,1995-08-30
853,The Relic,1997-01-10
854,The Island of Dr. Moreau,1996-08-23
855,First Kid,1996-08-30
856,The Trigger Effect,1996-08-30
857,Sweet Nothing,1995-06-08
858,Bogus,1996-09-06
859,Bulletproof,1996-09-06
860,Talk of Angels,1998-10-30
861,The Land Before Time III: The Time of the Great Giving,1995-03-16
862,1-900,1994-09-01
863,Baton Rouge,1988-10-08
864,Halloween: The Curse of Michael Myers,1995-09-29
865,Twelfth Night,1996-10-31
866,Mother Night,1996-11-01
867,Liebelei,1933-03-10
868,Venice,2010-05-25
869,Wild Reeds,1994-05-05
870,For Whom the Bell Tolls,1943-07-12
871,The Philadelphia Story,1940-12-05
872,Singin' in the Rain,1952-04-10
873,An American in Paris,1951-08-08
874,Funny Face,1957-02-13
875,Breakfast at Tiffany's,1961-10-05
876,Vertigo,1958-05-09
877,Rear Window,1954-08-01
878,It Happened One Night,1934-02-22
879,Gaslight,1944-05-04
880,The Gay Divorcee,1934-10-12
881,North by Northwest,1959-07-07
882,The Apartment,1960-06-15
883,Some Like It Hot,1959-03-18
884,Charade,1963-12-05
885,Casablanca,1942-11-26
886,The Maltese Falcon,1941-11-18
887,My Fair Lady,1964-10-21
888,Sabrina,1954-09-28
889,Roman Holiday,1953-09-02
890,The Little Princess,1939-03-17
891,Meet Me in St. Louis,1944-11-23
892,The Wizard of Oz,1939-08-15
893,Gone with the Wind,1939-12-15
894,My Favorite Year,1982-10-01
895,Sunset Boulevard,1950-08-10
896,Citizen Kane,1941-04-30
897,2001: A Space Odyssey,1968-04-10
898,Golden Earrings,1947-08-27
899,All About Eve,1950-11-09
900,The Women,1939-01-01
901,Rebecca,1940-04-12
902,Foreign Correspondent,1940-08-16
903,Notorious,1946-08-15
904,Spellbound,1945-12-28
905,An Affair to Remember,1957-07-11
906,To Catch a Thief,1955-08-03
907,Father of the Bride,1950-06-16
908,The Band Wagon,1953-08-07
909,Ninotchka,1939-10-06
910,Love in the Afternoon,1957-06-30
911,Gigi,1958-04-15
912,The Reluctant Debutante,1958-01-01
913,The Adventures of Robin Hood,1938-05-13
914,The Mark of Zorro,1940-11-08
915,Laura,1944-10-11
916,The Ghost and Mrs. Muir,1947-06-26
917,Lost Horizon,1937-09-01
918,Top Hat,1935-09-06
919,To Be or Not to Be,1942-03-05
920,My Man Godfrey,1936-09-17
921,Giant,1956-10-10
922,East of Eden,1955-03-09
923,The Thin Man,1934-05-25
924,His Girl Friday,1940-01-18
925,Around the World in Eighty Days,1956-10-17
926,It's a Wonderful Life,1946-12-20
927,Mr. Smith Goes to Washington,1939-10-19
928,Bringing Up Baby,1938-02-18
929,Penny Serenade,1941-04-24
930,The Scarlet Letter,1926-08-09
931,Lady of Burlesque,1943-06-01
932,Of Human Bondage,1934-07-20
933,Angel on My Shoulder,1946-09-20
934,Little Lord Fauntleroy,1936-03-06
935,They Made Me a Criminal,1939-01-28
936,The Inspector General,1949-12-31
937,Angel and the Badman,1947-02-15
938,The 39 Steps,1935-06-01
939,A Walk in the Sun,1945-12-25
940,The Outlaw,1943-02-05
941,Night of the Living Dead,1968-10-01
942,The African Queen,1951-12-03
943,Beat the Devil,1953-11-24
944,Cat on a Hot Tin Roof,1958-02-17
945,The Last Time I Saw Paris,1954-01-01
946,Meet John Doe,1941-03-12
947,Algiers,1938-06-28
948,Something to Sing About,1937-09-30
949,A Farewell to Arms,1932-12-08
950,A Farewell to Arms,1932-12-08
951,Moonlight Murder,1936-03-27
952,Nothing Personal,1996-10-18
953,"Yes, Madam",1985-01-01
954,Dangerous Ground,1997-02-12
955,Picnic,1955-11-18
956,Madagascar Skin,1995-01-26
957,The Pompatus of Love,1996-07-26
958,Small Wonders,1995-01-01
959,Fly Away Home,1996-09-13
960,Bliss,1997-04-14
961,Grace of My Heart,1996-09-13
962,Brother of Sleep,1995-09-08
963,Maximum Risk,1996-09-13
964,Michael Collins,1996-10-25
965,The Rich Man's Wife,1996-09-13
966,Infinity,1996-10-04
967,Big Night,1996-09-20
968,Last Man Standing,1996-09-20
969,Caught,1996-01-24
970,Set It Off,1996-11-06
971,2 Days in the Valley,1996-09-11
972,Curdled,1996-09-06
973,L'associé,1979-08-22
974,Ed's Next Move,1996-10-18
975,Extreme Measures,1996-09-27
976,The Glimmer Man,1996-10-04
977,D3: The Mighty Ducks,1996-10-04
978,The Chamber,1996-10-11
979,The Apple Dumpling Gang,1975-07-01
980,"Davy Crockett, King of the Wild Frontier",1955-05-25
981,Escape to Witch Mountain,1975-03-21
982,The Love Bug,1968-12-22
983,Herbie Rides Again,1974-02-14
984,Old Yeller,1957-12-25
985,The Parent Trap,1961-06-12
986,Pollyanna,1960-05-19
987,Homeward Bound: The Incredible Journey,1993-02-03
988,The Shaggy Dog,1959-03-19
989,Swiss Family Robinson,1960-12-21
990,That Darn Cat!,1965-12-02
991,"20,000 Leagues Under the Sea",1954-12-23
992,Cool Runnings,1993-09-30
993,Angels in the Outfield,1994-07-15
994,Cinderella,1950-03-04
995,Winnie the Pooh and the Blustery Day,1968-12-20
996,The Three Caballeros,1944-07-21
997,The Sword in the Stone,1963-12-25
998,So Dear to My Heart,1948-11-29
999,Robin Hood: Prince of Thieves,1991-06-14
1000,Mary Poppins,1964-08-27
1001,Dumbo,1941-10-22
1002,Pete's Dragon,1977-11-03
1003,Bedknobs and Broomsticks,1971-10-07
1004,Alice in Wonderland,1951-07-03
1005,The Fox and the Hound,1981-07-10
1006,Freeway,1996-08-23
1007,The Sound of Music,1965-03-02
1008,Die Hard,1988-07-15
1009,The Lawnmower Man,1992-03-05
1010,Unhook the Stars,1996-09-04
1011,Synthetic Pleasures,1995-09-13
1012,The Secret Agent,1996-11-08
1013,Secrets & Lies,1996-05-24
1014,That Thing You Do!,1996-10-04
1015,To Gillian on Her 37th Birthday,1996-10-18
1016,Surviving Picasso,1996-09-04
1017,Love Is All There Is,1996-05-10
1018,Beautiful Thing,1996-06-21
1019,The Long Kiss Goodnight,1996-10-11
1020,The Ghost and the Darkness,1996-10-11
1021,Looking for Richard,1996-10-11
1022,Trees Lounge,1996-10-11
1023,The Proprietor,1996-09-09
1024,Normal Life,1996-01-26
1025,Get on the Bus,1996-10-16
1026,Shadow Conspiracy,1997-01-31
1027,Jude,1996-02-06
1028,Everyone Says I Love You,1996-12-06
1029,Bitter Sugar,1996-02-10
1030,Romeo + Juliet,1996-10-31
1031,Swingers,1996-10-18
1032,Sleepers,1996-10-18
1033,The Sunchaser,1996-05-29
1034,Johns,1996-12-10
1035,Aladdin and the King of Thieves,1996-05-20
1036,The Woman in Question,1952-02-18
1037,Shall We Dance,1937-05-07
1038,A Damsel in Distress,1937-11-19
1039,Crossfire,1947-07-22
1040,"Murder, My Sweet",1944-12-09
1041,Macao,1952-04-30
1042,For the Moment,1993-10-01
1043,Willy Wonka & the Chocolate Factory,1971-06-29
1044,The Sexual Life of the Belgians,1994-01-28
1045,The Innocents,1961-12-25
1046,Sleeper,1973-12-17
1047,Bananas,1971-04-28
1048,A Fish Called Wanda,1988-07-15
1049,Life of Brian,1979-08-17
1050,Victor/Victoria,1982-04-25
1051,The Candidate,1972-08-23
1052,The Great Race,1965-07-01
1053,Bonnie and Clyde,1967-07-18
1054,The Old Man and the Sea,1958-10-07
1055,Dial M for Murder,1954-05-29
1056,Madame Butterfly,1995-11-22
1057,Dirty Dancing,1987-08-21
1058,Reservoir Dogs,1992-09-02
1059,Platoon,1986-12-18
1060,Weekend at Bernie's,1989-07-05
1061,Basic Instinct,1992-03-20
1062,The Doors,1991-03-01
1063,The Crying Game,1992-09-02
1064,Glengarry Glen Ross,1992-09-15
1065,Sophie's Choice,1982-12-08
1066,E.T. the Extra-Terrestrial,1982-04-03
1067,The Search for One-eye Jimmy,1994-11-14
1068,A Christmas Carol,1938-12-16
1069,Days of Thunder,1990-06-27
1070,Top Gun,1986-05-16
1071,American Strays,1996-09-12
1072,Rebel Without a Cause,1955-10-27
1073,A Streetcar Named Desire,1951-09-18
1074,Children of the Corn IV: The Gathering,1996-10-08
1075,The Leopard Son,1996-09-27
1076,Charm's  Incidents,1996-10-03
1077,Bird of Prey,1995-09-12
1078,Microcosmos,1996-05-20
1079,Palookaville,1995-09-07
1080,The Associate,1996-10-25
1081,The Funeral,1996-01-26
1082,The Sleepover,2013-10-12
1083,A Single Girl,1995-05-29
1084,The Eighth Day,1996-01-01
1085,North Star,1996-01-03
1086,Drunks,1997-03-14
1087,The People vs. Larry Flynt,1996-10-12
1088,Glory Daze,1995-10-01
1089,A Perfect Candidate,1996-06-19
1090,On Golden Pond,1981-12-04
1091,The Return of the Pink Panther,1975-05-21
1092,Drop Dead Fred,1991-04-19
1093,The Abyss,1989-08-09
1094,The Fog,1980-02-08
1095,Escape from New York,1981-05-22
1096,The Howling,1981-04-03
1097,Jean de Florette,1986-08-27
1098,Manon of the Spring,1986-11-19
1099,Johnny 100 Pesos,1993-01-01
1100,Private Benjamin,1980-10-06
1101,Monty Python and the Holy Grail,1975-03-13
1102,Hustler White,1996-07-19
1103,Dadetown,1995-09-02
1104,Everything Relative,1996-09-13
1105,Entertaining Angels - The Dorothy Day Story,1996-09-27
1106,Three Lives and Only One Death,1996-05-15
1107,The Line King: The Al Hirschfeld Story,1996-09-27
1108,Snowriders,1996-10-17
1109,Curtis's Charm,1995-09-18
1110,When We Were Kings,1996-10-25
1111,The Wrong Trousers,1993-12-17
1112,JLG/JLG: Self-Portrait in December,1995-03-08
1113,The Return of Martin Guerre,1982-05-12
1114,Faust,1994-09-10
1115,He Walked by Night,1948-11-24
1116,Raw Deal,1948-05-26
1117,T-Men,1947-12-15
1118,The Children Are Watching Us,1944-10-27
1119,Pastoral Symphony,1946-09-26
1120,Here Comes Cookie,1935-09-10
1121,Love In Bloom,1935-04-20
1122,Six of a Kind,1934-02-09
1123,The Tin Drum,1979-05-02
1124,The Ruling Class,1972-09-13
1125,Mina Tannenbaum,1994-03-02
1126,2 or 3 Things I Know About Her,1967-03-17
1127,The Bloody Child,1996-10-26
1128,Dear God,1996-11-01
1129,Bad Moon,1996-11-01
1130,American Dream,1990-09-28
1131,Best of the Best 3: No Turning Back,1995-05-17
1132,Bob Roberts,1992-09-04
1133,Cinema Paradiso,1988-11-17
1134,"The Cook, the Thief, His Wife & Her Lover",1989-09-10
1135,Dead Tired,1994-05-18
1136,Delicatessen,1991-04-17
1137,The Double Life of Veronique,1991-05-15
1138,Enchanted April,1991-11-06
1139,Paths of Glory,1957-09-18
1140,The Grifters,1990-09-14
1141,Hear My Song,1991-12-27
1142,The Shooter,1997-10-23
1143,The English Patient,1996-11-14
1144,Mediterraneo,1991-01-31
1145,My Left Foot: The Story of Christy Brown,1989-07-21
1146,"Sex, Lies, and Videotape",1989-08-18
1147,Passion Fish,1992-12-11
1148,Strictly Ballroom,1992-08-20
1149,The Thin Blue Line,1988-08-28
1150,Tie Me Up! Tie Me Down!,1989-12-12
1151,Madonna: Truth or Dare,1991-05-10
1152,Paris is Burning,1990-03-13
1153,One Flew Over the Cuckoo's Nest,1975-11-18
1154,Up in Smoke,1978-01-01
1155,The Empire Strikes Back,1980-05-17
1156,The Princess Bride,1987-09-18
1157,Raiders of the Lost Ark,1981-06-12
1158,Brazil,1985-02-20
1159,Aliens,1986-07-18
1160,"The Good, the Bad and the Ugly",1966-12-23
1161,Withnail & I,1987-01-01
1162,12 Angry Men,1957-03-25
1163,Lawrence of Arabia,1962-12-10
1164,A Clockwork Orange,1971-12-18
1165,To Kill a Mockingbird,1962-12-25
1166,Apocalypse Now,1979-08-15
1167,Once Upon a Time in the West,1968-12-21
1168,Return of the Jedi,1983-05-23
1169,Wings of Desire,1987-01-01
1170,The Third Man,1949-08-31
1171,GoodFellas,1990-09-12
1172,Alien,1979-05-25
1173,Army of Darkness,1992-10-09
1174,The Big Blue,1988-05-11
1175,Ran,1985-06-01
1176,The Killer,1989-07-06
1177,Psycho,1960-06-16
1178,The Blues Brothers,1980-06-17
1179,The Godfather: Part II,1974-12-20
1180,Full Metal Jacket,1987-06-26
1181,A Grand Day Out,1990-05-18
1182,Henry V,1989-10-05
1183,Amadeus,1984-10-26
1184,The Quiet Man,1952-07-21
1185,Once Upon a Time in America,1984-02-16
1186,Raging Bull,1980-11-14
1187,Annie Hall,1977-04-19
1188,The Right Stuff,1983-10-20
1189,Stalker,1979-04-16
1190,Das Boot,1981-09-16
1191,The Sting,1973-12-25
1192,Harold and Maude,1971-12-20
1193,Trust,1990-09-09
1194,The Seventh Seal,1957-02-16
1195,Local Hero,1983-02-17
1196,The Terminator,1984-10-26
1197,Braindead,1992-08-13
1198,Glory,1989-12-15
1199,Rosencrantz & Guildenstern Are Dead,1991-02-08
1200,Manhattan,1979-04-25
1201,Miller's Crossing,1990-09-21
1202,Dead Poets Society,1989-06-02
1203,The Graduate,1967-12-21
1204,Touch of Evil,1958-04-23
1205,La Femme Nikita,1990-02-21
1206,The Bridge on the River Kwai,1957-10-02
1207,8½,1963-02-14
1208,Chinatown,1974-06-20
1209,The Day the Earth Stood Still,1951-09-17
1210,The Treasure of the Sierra Madre,1948-01-24
1211,Bad Taste,1987-12-01
1212,Duck Soup,1933-11-17
1213,Better Off Dead...,1985-10-11
1214,The Shining,1980-05-22
1215,Stand by Me,1986-08-22
1216,M,1931-05-11
1217,Evil Dead II,1987-03-13
1218,The Great Escape,1963-06-20
1219,The Deer Hunter,1978-12-08
1220,Diva,1981-03-11
1221,Groundhog Day,1993-02-11
1222,Unforgiven,1992-08-07
1223,The Manchurian Candidate,1962-10-24
1224,Pump up the Volume,1990-08-22
1225,Arsenic and Old Lace,1944-09-23
1226,Back to the Future,1985-07-03
1227,Fried Green Tomatoes,1991-12-27
1228,Patton,1970-01-25
1229,Down by Law,1986-05-01
1230,Akira,1988-07-16
1231,Highlander,1986-03-07
1232,Cool Hand Luke,1967-06-22
1233,Cyrano de Bergerac,1990-03-28
1234,Young Frankenstein,1974-12-15
1235,Night on Earth,1991-10-03
1236,Raise the Red Lantern,1991-12-20
1237,The Great Dictator,1940-10-15
1238,Fantasia,1940-11-13
1239,High Noon,1952-03-27
1240,The Big Sleep,1946-08-23
1241,Heathers,1988-10-01
1242,Somewhere in Time,1980-10-02
1243,Ben-Hur,1959-12-26
1244,This Is Spinal Tap,1984-05-04
1245,Koyaanisqatsi,1982-06-06
1246,Some Kind of Wonderful,1987-02-27
1247,Indiana Jones and the Last Crusade,1989-05-24
1248,Being There,1979-12-19
1249,Gandhi,1982-11-30
1250,The Unbearable Lightness of Being,1988-02-05
1251,A Room with a View,1985-12-13
1252,Real Genius,1985-08-07
1253,Pink Floyd: The Wall,1982-07-14
1254,The Killing Fields,1984-11-02
1255,My Life as a Dog,1985-12-12
1256,Forbidden Planet,1956-03-15
1257,Field of Dreams,1989-04-21
1258,The Man Who Would Be King,1975-12-03
1259,Butch Cassidy and the Sundance Kid,1969-09-23
1260,"Paris, Texas",1984-05-19
1261,Until the End of the World,1991-09-12
1262,When Harry Met Sally...,1989-07-21
1263,I Shot a Man in Vegas,1996-10-18
1264,Parallel Sons,1995-01-01
1265,Hype!,1996-11-08
1266,Santa with Muscles,1996-11-08
1267,Female Perversions,1996-01-22
1268,Mad Dog Time,1996-11-08
1269,Breathing Room,1996-11-08
1270,Paris Was a Woman,1996-02-19
1271,I'm Not Rappaport,1996-12-24
1272,Blue Juice,1995-09-15
1273,Kids of Survival,1996-09-05
1274,Alien³,1992-05-22
1275,An American Werewolf in London,1981-08-21
1276,Amityville: It's About Time,1992-07-16
1277,Amityville 3-D,1983-11-18
1278,Amityville: Dollhouse,1996-10-02
1279,Amityville: A New Generation,1993-09-29
1280,Amityville II: The Possession,1982-09-24
1281,The Amityville Horror,1979-07-27
1282,The Amityville Curse,1989-12-01
1283,Blood for Dracula,1974-08-13
1284,April Fool's Day,1986-03-27
1285,Audrey Rose,1977-04-06
1286,The Believers,1987-06-09
1287,The Birds,1963-03-28
1288,The Blob,1958-09-12
1289,Blood Beach,1980-09-01
1290,Body Parts,1991-08-02
1291,The Body Snatcher,1945-05-25
1292,Dracula,1992-11-13
1293,Bride of Frankenstein,1935-04-21
1294,Burnt Offerings,1976-10-18
1295,Candyman,1992-10-16
1296,Cape Fear,1991-11-15
1297,Cape Fear,1962-04-12
1298,Carrie,1976-11-03
1299,Cat People,1982-04-02
1300,A Nightmare on Elm Street,1984-11-14
1301,Nosferatu,1922-03-15
1302,Vampire in Venice,1988-09-15
1303,The Omen,1976-06-06
1304,Blood and Wine,1996-10-03
1305,Albino Alligator,1996-09-09
1306,The Mirror Has Two Faces,1996-11-15
1307,Breaking the Waves,1996-05-13
1308,Nightwatch,1997-01-31
1309,Star Trek: First Contact,1996-11-21
1310,Shine,1996-01-21
1311,Sling Blade,1996-08-30
1312,Jingle All the Way,1996-11-15
1313,Identification of a Woman,1982-10-21
1314,Paradise Lost: The Child Murders at Robin Hood Hills,1996-12-03
1315,The Preacher's Wife,1996-12-13
1316,Zero Kelvin,1995-09-29
1317,Ridicule,1996-05-09
1318,The Crucible,1996-11-27
1319,101 Dalmatians,1996-11-17
1320,The Forbidden Christ,1951-06-08
1321,I Can't Sleep,1994-05-18
1322,Die Hard 2,1990-07-02
1323,Star Trek: The Motion Picture,1979-12-06
1324,Star Trek VI: The Undiscovered Country,1991-12-05
1325,Star Trek V: The Final Frontier,1989-06-09
1326,Star Trek II: The Wrath of Khan,1982-06-03
1327,Star Trek III: The Search for Spock,1984-05-31
1328,Star Trek IV: The Voyage Home,1986-11-25
1329,Batman Returns,1992-06-19
1330,Young Guns,1988-08-12
1331,Young Guns II,1990-08-01
1332,Grease,1978-07-07
1333,Grease 2,1982-06-11
1334,Marked for Death,1990-10-05
1335,Adrenalin: Fear the Rush,1996-11-29
1336,The Substance of Fire,1996-09-11
1337,Under Siege,1992-10-08
1338,Terror in a Texas Town,1958-09-01
1339,Jaws,1975-06-18
1340,Jaws 2,1978-06-16
1341,Jaws 3-D,1983-03-16
1342,My Fellow Americans,1996-12-20
1343,Mars Attacks!,1996-12-12
1344,Citizen Ruth,1996-12-13
1345,Jerry Maguire,1996-12-06
1346,Raising Arizona,1987-03-01
1347,Tin Men,1987-03-06
1348,Sneakers,1992-09-09
1349,Bastard Out of Carolina,1996-12-15
1350,In Love and War,1996-12-18
1351,Marvin's Room,1996-12-18
1352,Somebody Is Waiting,1996-12-19
1353,Ghosts of Mississippi,1996-12-20
1354,Night Falls on Manhattan,1996-10-22
1355,Beavis and Butt-Head Do America,1996-12-15
1356,La Cérémonie,1995-08-30
1357,Scream,1996-12-20
1358,The Last of the Mohicans,1992-09-25
1359,Michael,1996-12-25
1360,The Evening Star,1996-12-25
1361,Hamlet,1996-12-25
1362,Some Mother's Son,1996-12-25
1363,The Whole Wide World,1996-12-20
1364,Mother,1996-12-25
1365,Thieves,1996-08-21
1366,Evita,1996-12-14
1367,The Portrait of a Lady,1996-10-18
1368,Walkabout,1971-07-01
1369,Message to Love: The Isle of Wight Festival,1996-02-15
1370,Murder at 1600,1997-04-18
1371,Hearts and Minds,1995-08-29
1372,Inside,1996-08-25
1373,Fierce Creatures,1997-01-24
1374,Zeus & Roxanne,1997-01-24
1375,Turbulence,1997-01-09
1376,Angel Baby,1995-09-09
1377,First Strike,1996-02-10
1378,Underworld,1996-06-01
1379,Beverly Hills Ninja,1997-01-17
1380,Metro,1997-01-16
1381,The Machine,1994-05-28
1382,Falling in Love Again,1980-11-21
1383,The Cement Garden,1993-02-20
1384,Dante's Peak,1997-02-07
1385,Meet Wally Sparks,1997-01-01
1386,Amos & Andrew,1993-03-05
1387,Benny & Joon,1993-04-16
1388,Prefontaine,1997-01-24
1389,A Tickle in the Heart,1996-11-21
1390,Guantanamera,1995-01-01
1391,McHale's Navy,1997-04-18
1392,Kolya,1996-05-05
1393,Gridlock'd,1997-01-29
1394,Fire on the Mountain,1996-11-29
1395,Waiting for Guffman,1996-01-31
1396,Prisoner of the Mountains,1996-03-15
1397,The Beautician and the Beast,1997-02-07
1398,SubUrbia,1996-02-07
1399,Hotel de Love,1996-12-19
1400,The Pest,1997-02-07
1401,Fools Rush In,1997-02-14
1402,Touch,1997-02-14
1403,Absolute Power,1997-02-14
1404,That Darn Cat,1997-02-14
1405,Vegas Vacation,1997-02-13
1406,Unforgotten: Twenty-Five Years After Willowbrook,1997-02-14
1407,That Old Feeling,1997-04-04
1408,Lost Highway,1997-01-15
1409,Rosewood,1997-02-21
1410,Donnie Brasco,1997-02-27
1411,Salut cousin !,1996-11-20
1412,Booty Call,1997-02-26
1413,Rhyme & Reason,1997-03-04
1414,Boys Life 2,1997-03-07
1415,City of Industry,1997-03-14
1416,Best Men,1997-01-01
1417,Jungle 2 Jungle,1997-03-07
1418,Kama Sutra - A Tale of Love,1996-09-11
